Emiten_Code,URL,Directors,Commissioners,No,Kode Saham,Nama Perusahaan,Secretary,Email Address,Phone Number,Director,Comissioners,Audit Committee,Shareholders,Subsidiary,Public Accountant,Total Subsidiary
TAPG,https://www.idx.co.id/en/listed-companies/company-profiles/TAPG,"['NAME | POSITION | AFFILIATED', ' ERIDA | DIRECTOR | NO', ' GEORGE OETOMO | PRESIDENT DIRECTOR | NO', ' BUDIARTO ABADI | VICE PRESIDEN DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' ARIF RACHMAT | PRESIDENT COMMISIONER | NO', ' ARINI SARASWATY SUBIANTO | COMMISSIONER | NO', ' TODDY MIZAABIANTO SUGOTO | VICE PRESIDENT COMMISIONER | NO', ' DANNY RACHMAT | COMMISSIONER | NO', ' DRS. ARIDONO SUKMANTO | COMMISSIONER | YES', ' IR. MARULI GULTOM | COMMISSIONER | YES', ' STANLEY SETIA ATMADJA | COMMISSIONER | YES', ' TJANDRA KARYA HERMANTO | COMMISSIONER | NO']",849,TAPG,Triputra Agro Persada Tbk.,Joni Tjeng,TAP.corsec@tap-agri.com,(62-21) 5794-4737,Director Name Position Affiliated Erida DIRECTOR NoGeorge Oetomo PRESIDENT DIRECTOR NoBudiarto Abadi VICE PRESIDEN - DIRECTOR - No,Comissioners Name Position Independent Arif Rachmat PRESIDENT COMMISIONER NoArini Saraswaty Subianto COMMISSIONER NoToddy Mizaabianto Sugoto VICE PRESIDENT COMMISIONER NoDanny Rachmat - COMMISSIONER - No | Aridono Sukmanto - COMMISSIONER - Yes | Maruli Gultom COMMISSIONER YesStanley Setia Atmadja COMMISSIONER YesTjandra Karya Hermanto - COMMISSIONER - No,"['IR. MARULI GULTOM - HEAD ', ' HABIL LOKADJAJA - MEMBER ', ' HARRY ARIEF SUPARDI - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT DAYA ADICIPTA MUSTIKA - MORE THAN 5% - 3,958,643,004 - 19.94% ', ' PT PERSADA CAPITAL INVESTAMA - MORE THAN 5% - 6,565,109,373 - 33.069% ', ' PT TRIPUTRA INVESTINDO ARYA - MORE THAN 5% - 4,776,862,055 - 24.062% ', ' GEORGE OETOMO - DIRECTOR - 54,686,100 - 0.2755% ', ' ARIF RACHMAT - COMMISIONER - 2,796,300 - 0.0141% ', ' TJANDRA KARYA HERMANTO - COMMISIONER - 48,443,900 - 0.244% ', ' BUDIARTO ABADI - DIRECTOR - 39,449,800 - 0.1987% ', ' ERIDA - DIRECTOR - 19,210,000 - 0.0968% ', ' T. PERMADI RACHMAT. IR - MORE THAN 5% - 1,010,175,200 - 5.088% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 3,377,164,268 - 17.0112%']","['PT AGRO MULTI PERSADA (AMP) | PERUSAHAAN INDUK | 8,772,245 | 94.93']","PURWANTONO, SUNGKORO & SURJA",1
TARA,https://www.idx.co.id/en/listed-companies/company-profiles/TARA,"['NAME | POSITION | AFFILIATED', ' DHANIEL | PRESIDENT DIRECTOR | NO', ' BITRA WIJAYA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' BIHAR ABDI SOLONGGAHON TOBING | PRESIDENT COMMISIONER | NO', ' YURISTY FEBRIANY SE | COMMISSIONER | YES']",850,TARA,Agung Semesta Sejahtera Tbk.,,,,,,[''],[''],"['PT BINA KARNADA | PERDAGANGAN, PEMBANGUNAN, PERINDUSTRIAN, PERTANIAN | 33,517,415,854 | 99.90', 'PT BINA KARNADA | PERDAGANGAN, PEMBANGUNAN, PERINDUSTRIAN, PERTANIAN | 33,518,185,303 | 99.90', 'PT BINA KARNADA | PERDAGANGAN, PEMBANGUNAN, PERINDUSTRIAN, PERTANIAN | 33,518,570,065 | 99.90', 'PT BINA KARNADA | PERDAGANGAN, PEMBANGUNAN, PERINDUSTRIAN, PERTANIAN | 33,516,459,192 | 99.90', 'PT BINA KARNADA | PERDAGANGAN, PEMBANGUNAN, PERINDUSTRIAN, PERTANIAN | 33,522,685,265 | 99.90', 'PT BUMI TARA PERDANA | PERDAGANGAN, PENGANGKUTAN, PEMBANGUNAN, PERINDUSTRIAN, JASA, PERCETAKAN, PERBENGKELAN, PERTANIAN DAN KEHUTANAN | 595,105,000 | 99.83', 'PT BUMI TARA PERDANA | PERDAGANGAN, PENGANGKUTAN, PEMBANGUNAN, PERINDUSTRIAN, JASA, PERCETAKAN, PERBENGKELAN, PERTANIAN DAN KEHUTANAN | 595,105,000 | 99.83', 'PT BUMI TARA PERDANA | PERDAGANGAN, PENGANGKUTAN, PEMBANGUNAN, PERINDUSTRIAN, JASA, PERCETAKAN, PERBENGKELAN, PERTANIAN DAN KEHUTANAN | 600,000,000 | 99.83', 'PT BUMI TARA PERDANA | PERDAGANGAN, PENGANGKUTAN, PEMBANGUNAN, PERINDUSTRIAN, JASA, PERCETAKAN, PERBENGKELAN, PERTANIAN DAN KEHUTANAN | 600,000,000 | 99.83', 'PT BUMI TARA PERDANA | PERDAGANGAN, PENGANGKUTAN, PEMBANGUNAN, PERINDUSTRIAN, JASA, PERCETAKAN, PERBENGKELAN, PERTANIAN DAN KEHUTANAN | 600,000,000 | 99.83']",,80
TAXI,https://www.idx.co.id/en/listed-companies/company-profiles/TAXI,"['NAME | POSITION | AFFILIATED', ' JOHANNES B.E.TRIATMOJO | PRESIDENT DIRECTOR | NO', ' JANNES PHILIPUS CHUANG | DIRECTOR | NO', ' SHAFRUHAN SINUNGAN | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' ARI DARYATA SINGGIH | PRESIDENT COMMISIONER | NO', ' M. ALFAN BAHARUDIN | COMMISSIONER | YES']",851,TAXI,Express Transindo Utama Tbk.,Johannes B.E.Triatmojo,investor.relation@expressgroup.co.id,021-26507000,Triatmojo PRESIDENT DIRECTOR NoJannes Philipus Chuang - DIRECTOR - No,,[''],[''],"['PT EKSPRES JAKARTA JAYA | TRANSPORTASI DARAT | 10,577,075 | 100.00', 'PT EKSPRES MULIA KENCANA | TRANSPORTASI DARAT | 2,225,206 | 99.89', 'PT EKSPRES MULIA PERDANA | TRANSPORTASI DARAT | 1,876,446 | 99.60', 'PT EKSPRES SABANA UTAMA | TRANSPORTASI DARAT | 0 | 99.99', 'PT EKSPRESS SARANA BATU CEPER | TRANSPORTASI DARAT | 39,352,152 | 100.00', 'PT EXPRESS KARTIKA PERDANA | TRANSPORTASI DARAT | 179,090 | 99.90', 'PT EXPRESS KENCANA LESTARI | TRANSPORTASI DARAT | 155,939 | 99.60', 'PT EXPRESS LIMO NUSANTARA | TRANSPORTASI DARAT | 0 | 99.60', 'PT FAJAR MUTIARA TIMUR | TRANSPORTASI DARAT | 90,784 | 99.80', 'PT INDO SEMESTA LUHUR | TRANSPORTASI DARAT | 240,528 | 100.00']",,16
TAYS,https://www.idx.co.id/en/listed-companies/company-profiles/TAYS,"['NAME | POSITION | AFFILIATED', ' ALEXANDER ANWAR | PRESIDENT DIRECTOR | NO', ' MELANIA HALIM | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' ANWAR TAY | PRESIDENT COMMISIONER | NO', ' DJONI TATAN | COMMISSIONER | YES']",852,TAYS,Jaya Swarasa Agung Tbk.,Dinna Afrianti,corsec@taysbakers.com,021 5470205,Director Name Position Affiliated Alexander Anwar PRESIDENT DIRECTOR NoMelania Halim - DIRECTOR - No,Comissioners Name Position Independent Anwar Tay PRESIDENT COMMISIONER NoDjoni Tatan - COMMISSIONER - Yes,"['DJONI TATAN - HEAD ', ' RIANTO ABIMAIL - MEMBER ', ' RUDY DHARMA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE ANDREW SANUSI - DIRECTOR - 56,124,200 - 5.11% ', ' HARNO HASJIM - MORE THAN 5% - 19,940,000 - 1.81% ', ' MIXIO HOLDINGS INCORPORATED - MORE THAN 5% - 164,700,000 - 14.99% ', ' LIDYA ANWAR - MORE THAN 5% - 0 - 0% ', ' SUSANTO - MORE THAN 5% - 59,700,000 - 5.43% ', ' ANWAR TAY - COMMISIONER - 394,820,000 - 35.93% ', ' ALEXANDER ANWAR - DIRECTOR - 79,800,000 - 7.26% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 323,835,800 - 29.47%']",[''],ANWAR & REKAN,0
TBIG,https://www.idx.co.id/en/listed-companies/company-profiles/TBIG,"['NAME | POSITION | AFFILIATED', ' HERMAN SETYA BUDI | PRESIDENT DIRECTOR | NO', ' HARDI WIJAYA LIONG | VICE PRESIDEN DIRECTOR | NO', ' BUDIANTO PURWAHJO | DIRECTOR | NO', ' HELMY YUSMAN SANTOSO | DIRECTOR | NO', ' DR. LEONARDUS WAHYU WASONO MIHARDJO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' EDWIN SOERYADJAYA | PRESIDENT COMMISIONER | NO', ' VERENA LIM | COMMISSIONER | NO', ' LUDOVICUS SENSI WONDABIO | COMMISSIONER | YES', ' HERI SUNARYADI | COMMISSIONER | YES']",853,TBIG,Tower Bersama Infrastructure Tbk.,Helmy Yusman Santoso,corporate.secretary@tower-bersama.com,+62 21 2924 8900,Director Name Position Affiliated Herman Setya Budi PRESIDENT DIRECTOR NoHardi Wijaya Liong VICE PRESIDEN DIRECTOR NoBudianto Purwahjo DIRECTOR NoHelmy Yusman Santoso - DIRECTOR - No | Leonardus Wahyu Wasono Mihardjo - DIRECTOR - No,Comissioners Name Position Independent Edwin Soeryadjaya PRESIDENT COMMISIONER NoVerena Lim COMMISSIONER NoLudovicus Sensi Wondabio COMMISSIONER YesHeri Sunaryadi - COMMISSIONER - Yes,"['LUDOVICUS SENSI WONDABIO - HEAD ', ' AGUSTINO SUNARKO - MEMBER ', ' AGUNG NUGROHO SOEDIBYO - MEMBER']",[''],"['PT GIHON TELEKOMUNIKASI INDONESIA TBK | KONSTRUKSI, INFORMASI DAN KOMUNIKASI | 1,385,833 | 50.43', 'PT MENARA BERSAMA TERPADU | KONSTRUKSI SENTRAL TELEKOMUNIKASI | 10,057 | 100', 'PT METRIC SOLUSI INTEGRASI | HOLDING | 9,132,563 | 100', 'PT SOLUSI MENARA INDONESIA | KONSTRUKSI SENTRAL TELEKOMUNIKASI | 4,868,669 | 70.03', 'PT TELENET INTERNUSA | KONSTRUKSI SENTRAL TELEKOMUNIKASI | 273,653 | 99.50', 'PT TOWER BERSAMA | KONSTRUKSI SENTRAL TELEKOMUNIKASI | 29,696,561 | 100', 'PT TOWER ONE | KONSTRUKSI SENTRAL TELEKOMUNIKASI | 454,379 | 99.90', 'PT TRIAKA BERSAMA | KONSTRUKSI SENTRAL TELEKOMUNIKASI | 115,416 | 100', 'PT UNITED TOWERINDO | KONSTRUKSI SENTRAL TELEKOMUNIKASI | 0 | 100', 'PT VISI TELEKOMUNIKASI INFRASTRUKTUR TBK | JASA PENYEDIAAN INFRASTRUKTUR TELEKOMUNIKASI | 457,130 | 51.09']",,10
TBLA,https://www.idx.co.id/en/listed-companies/company-profiles/TBLA,"['NAME | POSITION | AFFILIATED', ' WIDARTO | PRESIDENT DIRECTOR | NO', ' SUDARMO TASMIN | VICE PRESIDEN DIRECTOR | NO', ' OEY ALFRED | DIRECTOR | NO', ' MURUGAIAH PERIASAMY | DIRECTOR | NO', ' RAVINDRAN VEERASAMY | DIRECTOR | NO', ' JASON INDRIAN WINATA | DIRECTOR | NO', ' SUGANDHI | DIRECTOR | NO', ' BASUKI PRAWONO WINATA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' SANTOSO WINATA | COMMISSIONER | NO', ' OEY ALBERT | COMMISSIONER | NO', ' JUSTINUS ADITYA SIDHARTA | COMMISSIONER | YES']",854,TBLA,Tunas Baru Lampung Tbk.,Bapak Hardy,cs@tunasbarulampung.com;hardy.tbl@sungaibudi.com,"021-5213383, 5225868",Director Name Position Affiliated Widarto PRESIDENT DIRECTOR NoSudarmo Tasmin VICE PRESIDEN DIRECTOR NoOey Alfred DIRECTOR NoMurugaiah Periasamy DIRECTOR NoRavindran Veerasamy DIRECTOR NoJason Indrian Winata DIRECTOR NoSugandhi DIRECTOR NoBasuki Prawono Winata - DIRECTOR - No,Comissioners Name Position Independent Santoso Winata COMMISSIONER NoOey Albert COMMISSIONER NoJustinus Aditya Sidharta - COMMISSIONER - Yes,"['JUSTINUS ADIYTA SIDHARTA - HEAD ', ' OEI YULIANTI WINARSO - MEMBER ', ' RINI SARI WIDJAJA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT SUNGAI BUDI - MORE THAN 5% - 1,600,505,696 - 26.56% ', ' PT BUDI DELTA SWAKARYA - MORE THAN 5% - 1,974,403,475 - 32.77% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 21,222,000 - 0.35% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 12,095,466 - 0.2% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 2,417,146,735 - 40.12%']","['PT ADIKARYA GEMILANG | PERKEBUNAN SAWIT,TEBU DAN GULA | 4,015,675 | 99.80', 'PT ADIKARYA GEMILANG | PERKEBUNAN SAWIT,TEBU DAN GULA | 7,497,504 | 99.80', 'PT ADIKARYA GEMILANG | PERKEBUNAN SAWIT,TEBU DAN GULA | 6,799,592 | 99.80', 'PT ADIKARYA GEMILANG | PERKEBUNAN SAWIT,TEBU DAN GULA | 6,553,038 | 99.80', 'PT ADIKARYA GEMILANG | PERKEBUNAN SAWIT,TEBU DAN GULA | 7,365,071 | 99.80', 'PT ADIKARYA GEMILANG | PERKEBUNAN SAWIT,TEBU DAN GULA | 7,173,601 | 99.80', 'PT AGRO BUMI MAS | PENGOLAHAN MINYAK SAWIT | 229,463 | 99.90', 'PT AGRO BUMI MAS | PENGOLAHAN MINYAK SAWIT | 230,726 | 99.90', 'PT AGRO BUMI MAS | PENGOLAHAN MINYAK SAWIT | 231,934 | 99.90', 'PT AGRO BUMI MAS | PENGOLAHAN MINYAK SAWIT | 231,490 | 99.90']",,71
TBMS,https://www.idx.co.id/en/listed-companies/company-profiles/TBMS,"['NAME | POSITION | AFFILIATED', ' TSUYOSHI KOBAYASHI | PRESIDENT DIRECTOR | NO', ' HITOSHI YAMAGUCHI | DIRECTOR | NO', ' TORU MURAKAMI | DIRECTOR | NO', ' HERRY CAHYO TRIYUNIARTO | DIRECTOR | NO', ' HENGKY KARTASASMITA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' ELLY SOEPONO | PRESIDENT COMMISIONER | NO', ' TSUTOMU AOKI | COMMISSIONER | NO', ' TORU UMEKI | COMMISSIONER | NO', ' DEWA NYOMAN ADNYANA | COMMISSIONER | YES', ' WANTINA DHARMAWI | COMMISSIONER | YES']",855,TBMS,Tembaga Mulia Semanan Tbk.,Erni Yunita Sari,erni@pttms.co.id,021.6190128,Director Name Position Affiliated TSUYOSHI KOBAYASHI PRESIDENT DIRECTOR NoHITOSHI YAMAGUCHI DIRECTOR NoTORU MURAKAMI DIRECTOR NoHERRY CAHYO TRIYUNIARTO DIRECTOR NoHENGKY KARTASASMITA - DIRECTOR - No,Comissioners Name Position Independent ELLY SOEPONO PRESIDENT COMMISIONER NoTSUTOMU AOKI COMMISSIONER NoTORU UMEKI COMMISSIONER NoDEWA NYOMAN ADNYANA COMMISSIONER YesWANTINA DHARMAWI - COMMISSIONER - Yes,"['DEWA NYOMAN ADYANA - HEAD ', ' AGUS HARYANTO - MEMBER ', ' NENY MUSTIKA SUSENO - MEMBER']",[''],[''],,0
TCID,https://www.idx.co.id/en/listed-companies/company-profiles/TCID,"['NAME | POSITION | AFFILIATED', ' KOICHI WATANABE | PRESIDENT DIRECTOR | NO', ' TEIJI IZAWA | DIRECTOR | NO', ' TORU ONISHI | DIRECTOR | NO', ' SANYATA ADI SAPUTRA | DIRECTOR | NO', ' BUDI SUDARTA | DIRECTOR | NO', ' HIROKAZU KAGAMI | DIRECTOR | NO', ' HIDEKI NAKAMURA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' SHINICHIRO KOSHIBA | PRESIDENT COMMISIONER | NO', ' LIE HARJONO | COMMISSIONER | NO', ' HERI MARTONO | COMMISSIONER | YES', ' BOWO PRIYATNO | COMMISSIONER | YES', ' TIURMA RONDANG SARI | COMMISSIONER | YES', ' MASANORI SAWADA | COMMISSIONER | NO']",856,TCID,Mandom Indonesia Tbk.,Alia Risyamaya Dewi,corporatesecretary@mandom.co.id,(021) 29809500,Director Name Position Affiliated Koichi Watanabe PRESIDENT DIRECTOR NoTeiji Izawa DIRECTOR NoToru Onishi DIRECTOR NoSanyata Adi Saputra DIRECTOR NoBudi Sudarta DIRECTOR NoHirokazu Kagami DIRECTOR NoHideki Nakamura - DIRECTOR - No,Comissioners Name Position Independent Shinichiro Koshiba PRESIDENT COMMISIONER NoLie Harjono COMMISSIONER NoHeri Martono COMMISSIONER YesBowo Priyatno COMMISSIONER YesTiurma Rondang Sari COMMISSIONER YesMasanori Sawada - COMMISSIONER - No,"['TIURMA RONDANG SARI - HEAD ', ' AZWIR ZAMRINURDIN, AK., M.AK., CA, CPA - MEMBER ', ' BASO FAKHRUDDIN, S.H., M.KN. - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT ASIA JAYA PARAMITA - MORE THAN 5% - 45,716,520 - 11.37% ', ' MANDOM CORPORATION - MORE THAN 5% - 262,317,382 - 65.23% ', ' LIE HARJONO - COMMISIONER - 506,008 - 0.13% ', ' HIROKAZU KAGAMI - DIRECTOR - 40,000 - 0.01% ', ' NAOYA KOIZUMI - MORE THAN 5% - 25,776 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 22,058,460 - 5.49% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 71,469,188 - 17.77%']","['PT ALLIANCE COSMETICS | PERDAGANGAN BESAR KOSMETIK. | 15,782,992,471 | 100.00']",,1
TCPI,https://www.idx.co.id/en/listed-companies/company-profiles/TCPI,"['NAME | POSITION | AFFILIATED', ' DENRY RAYMOND LELO | PRESIDENT DIRECTOR | NO', ' BINTANG SEPTO DRESTANTO | DIRECTOR | NO', ' BUDIMAN KOSTAMAN | DIRECTOR | NO', ' ANTON RAMADA SARAGIH | DIRECTOR | NO', ' IR. SUTINA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' ACHMAD SUTJIPTO | PRESIDENT COMMISIONER | YES', ' ADITYA PARULIANGUI | COMMISSIONER | NO']",857,TCPI,Transcoal Pacific Tbk.,Anton Ramada Saragih,corporate.secretary@transcoalpacific.com,+62 21 2994 1389,Director Name Position Affiliated Denry Raymond Lelo PRESIDENT DIRECTOR NoBintang Septo Drestanto DIRECTOR NoBudiman Kostaman DIRECTOR NoAnton Ramada Saragih - DIRECTOR - No | Sutina - DIRECTOR - No,Comissioners Name Position Independent Achmad Sutjipto PRESIDENT COMMISIONER YesAditya Paruliangui - COMMISSIONER - No,"['ACHMAD SUTJIPTO - HEAD ', ' DIMAS PRAYOGO - MEMBER ', ' DYAH SWASTI, SE - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT SARI NUSANTARA GEMILANG - MORE THAN 5% - 2,749,999,994 - 55% ', ' PT KARYA PERMATA INSANI - MORE THAN 5% - 1,250,000,006 - 25% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,000,000,000 - 20%']","['PT BAHARI MARITIM ENERGI (BME) | PELAYARAN | 24,998 | 100', 'PT ENERGI LAUTAN KENCANA (ELK) | PELAYARAN | 24,958 | 100', 'PT ENERGY GEMILANG KENCANA (EGK) | BELUM BEROPERASI | 84,436 | 99.57', 'PT ENERGY TRANSPORTER INDONESIA (ETI) | PELAYARAN | 1,503,134 | 86', 'PT KANZ GEMILANG UTAMA (KGU) | SUB-PERUSAHAAN INDUK | 907,625 | 99.92', 'PT KARYA SAMUDERA INSANI (KSI) | PELAYARAN | 308,481 | 100', 'PT SENTRA MAKMUR LINES (SML) | PELAYARAN | 1,041,870 | 99.64', 'PT TRANSPORTASI LAUTAN ENERGI (TLE) | PELAYARAN | 24,998 | 100']",,8
TDPM,https://www.idx.co.id/en/listed-companies/company-profiles/TDPM,"['NAME | POSITION | AFFILIATED', ' ANTON HARTONO | PRESIDENT DIRECTOR | NO', ' FLORIBERTUS WIDIE KASTYANTO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' WILLY WIDJAJA | PRESIDENT COMMISIONER | NO', ' RAUF PURNAMA | COMMISSIONER | YES']",858,TDPM,Tianrong Chemicals Industry Tbk.,,,,,,[''],[''],"['PT PETRONIKA | PRODUKSI DIOCTYL PHTHALATE (""DOP"")/DIOCTYL PHTHALATE MANUFACTURER | 25,234 | 80', 'PT PETRONIKA | PRODUKSI DIOCTYL PHTHALATE (""DOP"")/DIOCTYL PHTHALATE MANUFACTURER | 25,234 | 800', 'PT PETRONIKA | MANUFAKTUR KIMIA | 24,814 | 80', 'PT PETRONIKA | MANUFAKTUR KIMIA | 26,138 | 80', 'PT TRIDOMAIN CHEMICALS | PRODUKSI ACRYLAMIDE MONOMER LIQUID/ ACRYLAMIDE MONOMER | 29,876 | 92.88', 'PT TRIDOMAIN CHEMICALS | MANUFAKTUR KIMIA | 27,824 | 92.88', 'PT TRIDOMAIN CHEMICALS | MANUFAKTUR KIMIA | 27,834 | 92.88']",TJAHJADI & TAMARA,8
TEBE,https://www.idx.co.id/en/listed-companies/company-profiles/TEBE,"['NAME | POSITION | AFFILIATED', ' GT DENNY RAMDHANI | PRESIDENT DIRECTOR | NO', ' WELLY SUSANTO | DIRECTOR | NO', ' DIDIK PRASETYO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' JUNAIDI, S.H., LL.M', ' | PRESIDENT COMMISIONER | NO', ' INDRA SURYA | COMMISSIONER | YES']",859,TEBE,Dana Brata Luhur Tbk.,,,,,,[''],[''],"['PT PELABUHAN TALENTA BUMI | BERUSAHA DALAM BIDANG JASA PENGOLAHAN PELABUHAN BATUBARA. | 55,065,768 | 99.96', 'PT TALENTA BUMI | BERUSAHA DALAM BIDANG PENYEDIAAN JASA PENGANGKUTAN DAN PELABUHAN BATUBARA | 913,736,204 | 99.21', 'PT TALENTA BUMI ENERGI | BERUSAHA DALAM BIDANG PERDAGANGAN BATUBARA. | 447,049 | 99.96']",MIRAWATI SENSI IDRIS,3
TECH,https://www.idx.co.id/en/listed-companies/company-profiles/TECH,"['NAME | POSITION | AFFILIATED', ' MAULANA RIDHA | PRESIDENT DIRECTOR | NO', ' BENJAMIN LAU KENG ZI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' LAM CHING CHING | PRESIDENT COMMISIONER | NO', ' RAYMOND LAU YEAN LIANG | COMMISSIONER | YES']",860,TECH,Indosterling Technomedia Tbk.,Maulana Ridha,techindstrlng@gmail.com,+62 21 663 8888,Director Name Position Affiliated Maulana Ridha PRESIDENT DIRECTOR NoBenjamin Lau Keng Zi - DIRECTOR - No,Comissioners Name Position Independent Lam Ching Ching PRESIDENT COMMISIONER NoRaymond Lau Yean Liang - COMMISSIONER - Yes,"['NUNU NUGRAHA - HEAD ', ' MELDA HARIANJA - MEMBER ', ' INDAH MONICA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT INDOSTERLING SARANA INVESTA - MORE THAN 5% - 419,680,829 - 33.4061% ', ' CARRINGTON MFO VCC CHARISMATIC DEBT EQUITY FUND - MORE THAN 5% - 286,958,100 - 22.8415% ', ' CHARISMATIC CAPITAL LIMITED - MORE THAN 5% - 105,200,871 - 8.3739% ', ' OCBC SECURITIES PTE LTD - MORE THAN 5% - 100,000,000 - 7.9599% ', ' PT CITRA CEMERLANG JAYARAYA - MORE THAN 5% - 74,068,019 - 5.8957% ', ' MASYARAKAT - MORE THAN 5% - 270,392,181 - 21.5229% ', ' MAULANA RIDHA - DIRECTOR - 0 - 0% ', ' LAM CHING CHING - COMMISIONER - 0 - 0% ', ' RAYMOND LAU YEAN LIANG - COMMISIONER - 0 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 0 - 0%']","['PT DIGIMEDIA ANDALAN NUSANTARA | PERIKLANAN, PLATFORM DIGITAL | 5,993,588,388 | 99', 'PT INDOSTERLING LOKAMEDIA MAKMUR | PERDAGANGAN, PLATFORM DIGITAL, AKTIVITAS PEMROGRAMAN | 4,323,017,387 | 99', 'PT TECHNOMEDIA ANDALAN JAYA | PERDAGANGAN, SOFTWARE, TEKNOLOGI INFORMASI | 1,769,821,016 | 99', 'PT TECHNOMEDIA INTERKOM CEMERLANG | PERDAGANGAN, PENERBITAN SOFTWARE | 6,303,908,686 | 99', 'PT TECHNOMEDIA MULTI SEJAHTERA | PERDAGANGAN, PENERBITAN SOFTWARE | 8,082,048,007 | 99.99', 'PT TECHNOMEDIA SARANA SEMESTA | PERDAGANGAN, KONSULTASI KOMPUTER, TEKNOLOGI INFORMASI | 24,468,093,461 | 100.00']",,6
